epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.553213894367218,0.6901958584785461,0.5427473783493042,0.5953635573387146,0.4970414340496063,0.6952489614486694,0.5,0.5029585957527161
1,0.5816649198532104,0.6822109818458557,0.5676810145378113,0.5700737833976746,0.5917159914970398,0.6816412806510925,0.6451612710952759,0.5917159914970398
2,0.5785036683082581,0.6765189170837402,0.5770878195762634,0.5679662823677063,0.5502958297729492,0.6803063154220581,0.5590062141418457,0.5325443744659424
3,0.5837724208831787,0.6739102602005005,0.5757894515991211,0.5763962268829346,0.526627242565155,0.6756093502044678,0.542682945728302,0.526627242565155
4,0.6617491841316223,0.6601920127868652,0.651593029499054,0.6680716276168823,0.6153846383094788,0.6748177409172058,0.6149425506591797,0.6331360936164856
5,0.6649104356765747,0.6532642841339111,0.6579770445823669,0.6649104356765747,0.6745561957359314,0.6598055958747864,0.6569767594337463,0.668639063835144
6,0.6164383292198181,0.6512511372566223,0.612593412399292,0.6048471927642822,0.6508875489234924,0.6617946028709412,0.6460674405097961,0.6804733872413635
7,0.6143308877944946,0.6489492654800415,0.6227607727050781,0.6227607727050781,0.5621301531791687,0.6630130410194397,0.5679012537002563,0.5443786978721619
8,0.6743940711021423,0.6316577196121216,0.6771488189697266,0.6807165145874023,0.6153846383094788,0.6581108570098877,0.608433723449707,0.5976331233978271
9,0.6364594101905823,0.6306576728820801,0.6435432434082031,0.6354057192802429,0.5621301531791687,0.6641441583633423,0.5654761791229248,0.5621301531791687
10,0.6743940711021423,0.618597686290741,0.6719409227371216,0.6712328791618347,0.6449704170227051,0.651980996131897,0.650306761264801,0.6272189617156982
11,0.6680716276168823,0.6114005446434021,0.6702014803886414,0.6659641861915588,0.5976331233978271,0.6576963067054749,0.6202531456947327,0.5798816680908203
12,0.654373049736023,0.6127644181251526,0.6544276475906372,0.6385669112205505,0.5739644765853882,0.6524089574813843,0.57485032081604,0.5680473446846008
13,0.6649104356765747,0.616593599319458,0.6656118035316467,0.6649104356765747,0.6568047404289246,0.6474901437759399,0.6568047404289246,0.6568047404289246
14,0.654373049736023,0.6077346205711365,0.6567796468734741,0.6533192992210388,0.6331360936164856,0.6613996028900146,0.639053225517273,0.639053225517273
15,0.685985267162323,0.5988204479217529,0.6886290907859802,0.6828240156173706,0.6627218723297119,0.6331080794334412,0.6627218723297119,0.6627218723297119
16,0.6880927085876465,0.599581778049469,0.6867724657058716,0.6838777661323547,0.668639063835144,0.636711597442627,0.6625766754150391,0.639053225517273
17,0.692307710647583,0.5901706218719482,0.6894736886024475,0.6902002096176147,0.6094674468040466,0.663015604019165,0.6081871390342712,0.6153846383094788
18,0.6585879921913147,0.5943588018417358,0.6603773832321167,0.6638566851615906,0.6568047404289246,0.638309121131897,0.6646341681480408,0.6449704170227051
19,0.685985267162323,0.5878238081932068,0.6885592937469482,0.6849315166473389,0.639053225517273,0.6416089534759521,0.6358024477958679,0.6094674468040466
20,0.6701791286468506,0.5943361520767212,0.6712473630905151,0.6691253781318665,0.6331360936164856,0.6431717276573181,0.6309523582458496,0.6272189617156982
21,0.6975764036178589,0.5818227529525757,0.6952879428863525,0.6996839046478271,0.6508875489234924,0.6282933950424194,0.6569767594337463,0.668639063835144
22,0.6807165145874023,0.585676908493042,0.683491051197052,0.6849315166473389,0.6449704170227051,0.6372761726379395,0.648809552192688,0.6449704170227051
23,0.7144362330436707,0.5661316514015198,0.7186512351036072,0.7186512351036072,0.6035503149032593,0.6547262072563171,0.6107784509658813,0.6035503149032593
24,0.6786090731620789,0.5731806755065918,0.6789862513542175,0.6775553226470947,0.6627218723297119,0.6352283954620361,0.6627218723297119,0.6627218723297119
25,0.6975764036178589,0.5640501379966736,0.6984127163887024,0.6954689025878906,0.5739644765853882,0.6373319029808044,0.5739644765853882,0.5739644765853882
26,0.685985267162323,0.5799480080604553,0.6869009733200073,0.679662823677063,0.6508875489234924,0.617372453212738,0.6508875489234924,0.6508875489234924
27,0.7017913460731506,0.5605404376983643,0.7032734751701355,0.7017913460731506,0.6035503149032593,0.6487319469451904,0.5964912176132202,0.6035503149032593
28,0.6912539601325989,0.5660173892974854,0.6875,0.6838777661323547,0.692307710647583,0.6112695932388306,0.6927710771560669,0.6804733872413635
29,0.6828240156173706,0.5727074146270752,0.679662823677063,0.679662823677063,0.6153846383094788,0.6379766464233398,0.6213017702102661,0.6213017702102661
30,0.7207586765289307,0.5565418004989624,0.7200000286102295,0.7207586765289307,0.5739644765853882,0.6710772514343262,0.5714285969734192,0.5680473446846008
